Year,Ceremony,Award,Winner,Name,Film
1935,8,Dance Direction,,Hermes Pan,"Top Hat: Piccolino and Top Hat, White Tie, Tails"
1935,8,Dance Direction,,LeRoy Prinz,Big Broadcast: It’s the Animal in Me; All the King's Horses: Viennese Waltz
1935,8,Dance Direction,,Benjamin Zemach,She: Hall of Kings
1935,8,Directing,,Michael Curtiz,Captain Blood 
1935,8,Directing,1,John Ford,The Informer 
1935,8,Directing,,Henry Hathaway,The Lives of a Bengal Lancer 
1935,8,Directing,,Frank Lloyd,Mutiny on the Bounty 
1935,8,Film Editing,,Robert J. Kern,David Copperfield 
1935,8,Film Editing,,George Hively,The Informer 
1935,8,Film Editing,,Barbara McLean,Les Miserables 
1935,8,Film Editing,,Ellsworth Hoagland,The Lives of a Bengal Lancer 
1935,8,Film Editing,1,Ralph Dawson,A Midsummer Night's Dream 
1935,8,Film Editing,,Margaret Booth,Mutiny on the Bounty 
1935,8,Music (Scoring),,"Leo Forbstein: head of department, Warner Brothers-First National Studio Music Department; Erich Wolfgang Korngold",Captain Blood 
1935,8,Music (Scoring),1,"Max Steiner: head of department, RKO Radio Studio Music Department",The Informer 
1935,8,Music (Scoring),,"Nat W. Finston: head of department, Metro-Goldwyn-Mayer Studio Music Department; Herbert Stothart",Mutiny on the Bounty 
1935,8,Music (Scoring),,"Irvin Talbot: head of department, Paramount Studio Music Department; Ernst Toch",Peter Ibbetson 
1935,8,Music (Song),,"Irving Berlin: Music, Lyrics","Top Hat: ""Cheek To Cheek"""
1935,8,Music (Song),,Jerome Kern: Music; Dorothy Fields: Lyrics; Jimmy McHugh: Lyrics,"Roberta: ""Lovely To Look At"""
1935,8,Music (Song),1,Harry Warren: Music; Al Dubin: Lyrics,"Gold Diggers: ""Lullaby Of Broadway"""
1935,8,Outstanding Production,,RKO Radio,Alice Adams 
1935,8,Outstanding Production,,Metro-Goldwyn-Mayer,Broadway Melody
1935,8,Outstanding Production,,Cosmopolitan,Captain Blood 
1935,8,Outstanding Production,,Metro-Goldwyn-Mayer,David Copperfield 
1935,8,Outstanding Production,,RKO Radio,The Informer 
1935,8,Outstanding Production,,20th Century,Les Miserables 
1935,8,Outstanding Production,,Paramount,The Lives of a Bengal Lancer 
1935,8,Outstanding Production,,Warner Brothers,A Midsummer Night's Dream 
1935,8,Outstanding Production,1,Metro-Goldwyn-Mayer,Mutiny on the Bounty 
1935,8,Outstanding Production,,Metro-Goldwyn-Mayer,Naughty Marietta 
1935,8,Outstanding Production,,Paramount,Ruggles of Red Gap 
1935,8,Outstanding Production,,RKO Radio,Top Hat 
1935,8,Short Subject (Cartoon),,Harman-Ising,The Calico Dragon 
1935,8,Short Subject (Cartoon),1,Walt Disney: Producer,Three Orphan Kittens 
1935,8,Short Subject (Cartoon),,Walt Disney: Producer,Who Killed Cock Robin? 
1935,8,Short Subject (Comedy),1,Jack Chertok: Producer,How to Sleep 
1935,8,Short Subject (Comedy),,Jules White: Producer,"Oh, My Nerves "
1935,8,Short Subject (Comedy),,Hal Roach: Producer,Tit for Tat 
1935,8,Short Subject (Novelty),,Pete Smith: Producer,Audioscopiks 
1935,8,Short Subject (Novelty),,Universal,Camera Thrills 
1935,8,Short Subject (Novelty),1,Gaumont British; Skibo Productions,Wings over Mt. Everest 
1935,8,Sound Recording,,"Gilbert Kurland: Sound Director, Universal Studio Sound Department",Bride of Frankenstein 
1935,8,Sound Recording,,"Nathan Levinson: Sound Director, Warner Brothers-First National Studio Sound Department",Captain Blood 
